stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
2722,3197,"Przedwiośnie (Brzeziny)",,51.800970,19.762900,2,,0,,,0
2723,3242,"Bohaterów Warszawy-szkoła (Brzeziny)",,51.801230,19.758910,2,,0,,,0
2724,3243,"Głowackiego (Brzeziny)",,51.803820,19.762310,2,,0,,,0
2725,3245,"Modrzewskiego-Biedronka (Brzeziny)",,51.802330,19.756060,2,,0,,,0
2732,1730,"pl. Mikulskiego",,51.767390,19.486090,1,,0,,,0
2736,3519,"Boginia chłodnia NŻ",,51.836670,19.626690,2,,0,,,0
2737,3520,"Boginia chłodnia NŻ",,51.836710,19.626340,2,,0,,,0
2746,1518,"Żeromskiego-Kopernika",,51.762820,19.447420,1,,0,,,0
2750,2122,"Obywatelska-Obywatelska 106",,51.737000,19.431140,1,,0,,,0
2758,2123,"Politechniki-Targi Łódzkie",,51.749950,19.450040,1,,0,,,0
2759,2124,"Politechniki-Targi Łódzkie",,51.748980,19.450150,1,,0,,,0
2765,2091,"Włókniarzy-Mickiewicza (Dw. Ł. Kaliska)",,51.756690,19.434490,1,,0,,,0
2766,2092,"Włókniarzy-Mickiewicza (Dw. Ł. Kaliska)",,51.756480,19.434480,1,,0,,,0
2767,2125,"Bandurskiego-Wróblewskiego",,51.750440,19.419270,1,,0,,,0
2768,2126,"Bandurskiego-Wróblewskiego",,51.750300,19.418610,1,,0,,,0
2772,2082,"Retkinia",,51.742030,19.384480,1,,0,,,0
2773,2083,"Retkinia",,51.742430,19.384240,1,,0,,,0
2774,2084,"Retkinia",,51.742450,19.383520,1,,0,,,0
2775,2085,"Retkinia",,51.742420,19.383910,1,,0,,,0
2776,2093,"Włókniarzy-Mickiewicza (Dw. Ł. Kaliska)",,51.756840,19.434560,1,,0,,,0
2777,2094,"Piotrkowska Centrum",,51.759300,19.456530,1,,0,,,0
2778,2095,"Piotrkowska Centrum",,51.759160,19.457620,1,,0,,,0
2779,2097,"Puszkina-Rondo Inwalidów",,51.760150,19.536780,1,,0,,,0
2780,2098,"Puszkina-Rondo Inwalidów",,51.759710,19.536390,1,,0,,,0
2781,2099,"Rokicińska-Gogola",,51.759540,19.544200,1,,0,,,0
2783,2101,"Rokicińska-Gogola",,51.759520,19.543790,1,,0,,,0
2785,2103,"Rokicińska-Książąt Polskich",,51.755510,19.565930,1,,0,,,0
2786,2104,"Rokicińska-Książąt Polskich",,51.755420,19.565960,1,,0,,,0
2787,2105,"Hetmańska-Janów",,51.752150,19.574800,1,,0,,,0
2788,2106,"Hetmańska-Janów",,51.752110,19.574640,1,,0,,,0
2789,2107,"Hetmańska-Zagłoby",,51.747420,19.572560,1,,0,,,0
2790,2108,"Hetmańska-Zagłoby",,51.747250,19.572270,1,,0,,,0
2791,2109,"Hetmańska-Dąbrówki",,51.743420,19.570720,1,,0,,,0
2792,2110,"Hetmańska-Dąbrówki",,51.743240,19.570430,1,,0,,,0
2793,2111,"Hetmańska-Zakładowa",,51.740840,19.569470,1,,0,,,0
2794,2112,"Hetmańska-Zakładowa",,51.739980,19.568910,1,,0,,,0
2795,2113,"Odnowiciela-Hetmańska",,51.737010,19.566430,1,,0,,,0
2796,2114,"Odnowiciela-Hetmańska",,51.736760,19.566610,1,,0,,,0
2797,2115,"Ofiar Terroryzmu 11 Września-Dell",,51.733810,19.568990,1,,0,,,0
2798,2116,"Ofiar Terroryzmu 11 Września-Dell",,51.733750,19.569440,1,,0,,,0
